freq,citizen,age,sex,unit,geo,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 ,2024 ,2025 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,FR,: ,: u,: u,: u,: u,: u,: u,7.8 u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,HR,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,HU,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,IE,: ,20.2 ,15.9 ,2.6 u,9.1 u,2.8 u,5.3 bu,34.4 u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,IS,: ,6.5 u,: u,: u,: u,: ,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,IT,: ,1.7 u,5.5 ,4.9 ,3.4 ,2.4 ,0.0 u,0.0 pu,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,LT,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,LU,: ,2.4 ,4.7 b,2.3 ,5.4 ,6.0 ,6.8 b,3.7 b,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,LV,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,ME,: ,: ,: ,: ,: ,: ,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,MK,: ,: u,: u,: u,: u,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,MT,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,NL,: ,: u,20.5 bu,13.7 u,: u,5.1 u,18.5 u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,NO,: ,: u,3.9 u,6.7 u,3.2 u,6.4 u,18.6 u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,PL,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,PT,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,RO,: ,: u,: u,: ,: u,: u,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,RS,: ,: u,: u,: u,: u,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,SE,: ,: u,: u,: u,: u,: u,: u,10.3 u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,SI,: ,: u,: u,: u,: u,: u,: u,: u,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,SK,: ,: u,: u,: u,: u,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,TR,: ,: u,: u,: u,: u,: u,: u,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,F,PC_Y_LT65,UK,: ,8.5 ,4.9 ,1.3 bu,4.1 u,: ,: ,: ,: ,: ,: ,: 
A,EU27_2020_FOR,Y18-29,M,PC,AL,: ,: ,: ,: ,: ,: ,: u,: u,: u,: u,: ,: 
